Task,Model,Accuracy,Precision,Recall,F1,Accuracy_STD
Rest vs Load,SVM,0.9947113076474705,0.9977263545043653,0.9966385553778139,0.9971300781874254,0.012500138498037576
Rest vs Load,Logistic Regression,0.9936278095612282,0.9992140709400774,0.9939558463545253,0.9964750025678981,0.018478679082710246
Rest vs Load,Random Forest,0.9874904121437298,0.992680171882576,0.9941445307749943,0.9933020255158731,0.020364796589075813
Rest vs Load,KNN,0.9909594698708977,0.9957207379795708,0.9946631753783677,0.9951084022349962,0.01713185374844121
Rest vs Load,XGBoost,0.9893437552604534,0.9952423800887221,0.9934627430122133,0.9942421791878608,0.019196409660477073
WM vs VA,SVM,0.7509368516392648,0.7470624870027373,0.8230324285226389,0.7539814448784561,0.1255337854471792
WM vs VA,Logistic Regression,0.7572735011763181,0.7552211517144374,0.8203572417606385,0.7586613700006773,0.11802026210484476
WM vs VA,Random Forest,0.7468877743061932,0.7477017044652209,0.8078233259416007,0.7596917242356914,0.10880079319189719
WM vs VA,KNN,0.6923842545989682,0.700368709126485,0.7255505687258657,0.7000617875904146,0.09829895003001303
WM vs VA,XGBoost,0.7365802338769446,0.7507658861765546,0.7775884878201825,0.7448364787133751,0.10886216248611207
